transformer_id,middle_point,CN_transformer,taid
690,-517,27147,5173
691,-518,17639,5181
692,-518,27153,5182
693,-518,27152,5183
694,-519,17638,5191
695,-519,27154,5192
696,-519,27151,5193
697,-522,19241,5221
698,-522,27160,5222
699,-522,27159,5223
700,-523,19323,5231
701,-523,26865,5232
702,-523,27161,5233
703,-524,20475,5241
704,-524,27164,5242
705,-524,27162,5243
706,-525,20476,5251
707,-525,27165,5252
708,-525,27163,5253
709,-526,19217,5261
710,-526,27166,5262
711,-526,27167,5263
712,-527,19218,5271
713,-527,27168,5272
714,-527,27169,5273
715,-528,19161,5281
716,-528,26895,5282
717,-528,27170,5283
718,-529,19863,5291
719,-529,27172,5292
720,-529,27171,5293
721,-530,18821,5301
722,-530,27174,5302
723,-530,27173,5303
724,-531,17934,5311
725,-531,27155,5312
726,-531,27157,5313
727,-532,17935,5321
728,-532,27156,5322
729,-532,27158,5323
730,-533,17965,5331
731,-533,27295,5332
732,-533,27176,5333
733,-534,18953,5341
734,-534,27296,5342
735,-534,27175,5343
736,-535,18232,5351
737,-535,26861,5352
738,-535,26860,5353
739,-536,18233,5361
740,-536,27178,5362
741,-536,27177,5363
742,-537,20367,5371
743,-537,27182,5372
744,-537,27181,5373
745,-538,20370,5381
746,-538,27180,5382
747,-538,27179,5383
748,-539,5222,5391
749,-539,27658,5392
750,-539,27340,5393
751,-540,5220,5401
752,-540,27659,5402
753,-540,27341,5403
754,-541,5218,5411
755,-541,27660,5412
756,-541,27342,5413
757,-542,5216,5421
758,-542,27661,5422
759,-542,27343,5423
760,-549,17631,5491
761,-549,27193,5492
762,-549,27094,5493
763,-550,18465,5501
764,-550,26869,5502
765,-550,27098,5503
766,-551,17716,5511
767,-551,26855,5512
768,-551,27185,5513
769,-552,17717,5521
770,-552,27183,5522
771,-552,27186,5523
772,-553,17718,5531
773,-553,27184,5532
774,-553,27187,5533
775,-554,19462,5541
776,-554,26867,5542
777,-554,27189,5543
778,-555,19463,5551
779,-555,26868,5552
780,-555,27188,5553
781,-556,18280,5561
782,-556,26863,5562
783,-556,26862,5563
784,-557,18281,5571
785,-557,27192,5572
786,-557,27191,5573
787,-559,18523,5591
788,-559,27323,5592
