component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
695,四川.斯乡龙光伏电厂/35kV.#1SVG静态无功发生器,35,四川.斯乡龙光伏厂,25140,32,1959
696,四川.三地风电厂/35kV.#1SVG静态无功发生器,35,四川.三地风电厂,25193,0,1971
697,四川.三地风电厂/35kV.#2SVG静态无功发生器,35,四川.三地风电厂,25195,0,1971
698,四川.三地风电厂/35kV.#3SVG静态无功发生器,35,四川.三地风电厂,25208,0,1971
699,四川.三地风电厂/35kV.#4SVG静态无功发生器,35,四川.三地风电厂,25210,0,1971
700,四川.红和风电厂/35kV.#1SVG静态无功发生器,35,四川.红和风电厂,25356,0,2008
701,四川.大德风电厂/35kV.#1SVG静态无功发生器,35,四川.大德厂,15328,0,2025
702,四川.兰错玛光伏厂/35kV.#1SVG静态无功发生器,35,四川.兰错玛光伏厂,15623,38,2079
703,四川.浑水塘光伏厂/35kV.#1SVG静态无功发生器,35,四川.浑水塘光伏厂,15687,0,2100
704,四川.马鸣风电厂/35kV.#1SVG静态无功发生器,35,四川.马鸣风电厂,25699,-1,2127
705,四川.鲁基风电厂/35kV.#1SVG静态无功发生器,35,四川.鲁基厂,25704,0,2130
706,四川.德昌风电厂/11.5kV.#2SVG静态无功发生器,11,四川.德昌风电厂,27997,0,1544
707,四川.德昌风电厂/11.5kV.#3SVG静态无功发生器,11,四川.德昌风电厂,27998,0,1544
708,四川.德昌风电厂/11.5kV.#4SVG静态无功发生器,11,四川.德昌风电厂,28005,0,1544
709,四川.树堡光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.树堡光伏厂,13336,-1,1675
710,四川.树堡光伏厂/10.5kV.#2SVG静态无功发生器,10,四川.树堡光伏厂,14489,-1,1675
711,四川.拉马厂/10.5kV.#2SVG静态无功发生器,10,四川.拉马厂,50442,-1,1702
712,四川.拉马厂/10.5kV.#1SVG静态无功发生器,10,四川.拉马厂,50443,-1,1702
713,四川.火烈风电厂/10.5kV.#3SVG静态无功发生器,10,四川.火烈风电厂,15178,0,2014
714,四川.火烈风电厂/10.5kV.#4SVG静态无功发生器,10,四川.火烈风电厂,15180,0,2014
715,四川.达拉寨光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.达拉寨光伏厂,28001,29,1916
716,四川.花海光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.花海光伏厂,28002,30,1927
717,四川.万家山光伏厂/35kV.#1SVG静态无功发生器,10,四川.万家山光伏电厂,28003,31,1943
718,四川.干坝子风电厂/10.5kV.#1SVG静态无功发生器,10,四川.干坝子风电厂,15028,0,1986
719,四川.干坝子风电厂/10.5kV.#2SVG静态无功发生器,10,四川.干坝子风电厂,15030,0,1986
720,四川.卓坤厂/10.5kV.#1SVG静态无功发生器,10,四川.卓坤厂,15336,34,2029
721,四川.塘泥湾光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.塘泥湾光伏厂,15477,0,2063
722,四川.大田光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.大田光伏厂,25562,37,2072
723,四川.下大沟光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.下大沟光伏厂,15607,0,2076
724,四川.美兴光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.美兴光伏厂,15635,39,2084
725,四川.益门光伏厂/10.5kV.#2SVG静态无功发生器,10,四川.益门光伏厂,15721,-1,2105
726,四川.彰冠光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.彰冠光伏厂,15731,42,2110
727,四川.洛乌沟光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.洛乌沟光伏厂,15783,44,2114
728,四川.柏栎箐光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.柏栎箐光伏厂,28007,-1,2121
729,四川.洛乌沟光伏厂/10.5kV.#2SVG静态无功发生器,10,四川.洛乌沟光伏厂,15763,44,2114
