index,sub
16541,1872
16542,1873
16551,1872
16552,1873
16561,1872
16562,1873
16571,1872
16572,1873
16581,1872
16582,1873
16591,1872
16592,1873
16601,1872
16602,1873
16611,1872
16612,1873
16621,1872
16622,1873
16631,1872
16632,1873
16641,1872
16642,1873
16651,1872
16652,1873
16661,1872
16662,1873
16671,1872
16672,1873
16681,1872
16682,1873
16691,1659
16692,1660
16701,1660
16702,1661
16711,1660
16712,1661
16721,1660
16722,1661
16731,1660
16732,1661
16741,1660
16742,1661
16751,1660
16752,1661
16761,1660
16762,1661
16771,1660
16772,1661
16781,1660
16782,1661
16791,1660
16792,1661
16801,1660
16802,1661
16811,1660
16812,1661
16821,1660
16822,1661
16831,1660
16832,1661
16841,1660
16842,1661
16851,1660
16852,1661
16861,1660
16862,1661
16871,1660
16872,1661
16881,1660
16882,1661
16891,1660
16892,1661
16901,1660
16902,1661
16911,1660
16912,1661
16921,1660
16922,1661
16931,1660
16932,1661
16941,1875
16942,1876
16951,1874
16952,1875
16961,1875
16962,1876
16971,1875
16972,1876
16981,1875
16982,1876
16991,1875
16992,1876
17001,1875
17002,1876
17011,1875
17012,1876
17021,1875
17022,1876
17031,1875
17032,1876
17041,1875
17042,1876
17051,1875
17052,1876
17061,1875
17062,1876
17071,1875
17072,1876
17081,1875
17082,1876
17091,1875
17092,1876
17101,1875
17102,1876
17111,1875
17112,1876
17121,1875
17122,1876
17131,1875
17132,1876
17141,1875
17142,1876
17361,1642
17362,1675
17391,1884
17392,1885
17451,1893
17452,1894
17471,1895
17472,1896
17481,1897
17482,1898
17491,1897
17492,1898
17501,1899
17502,1900
17511,1899
17512,1900
17521,1517
17522,1518
17551,1909
17552,1910
17561,1909
17562,1910
17581,1912
17582,1913
17591,1914
17592,1915
17601,1914
17602,1915
17611,1914
17612,1915
17621,1901
17622,1916
17721,1917
17722,1918
17731,1613
17732,1919
17741,1613
17742,1919
17771,1922
17772,1923
17781,1926
17782,1927
17791,1924
17792,1925
17801,1929
17802,1930
17811,1929
17812,1930
17821,1931
17822,1932
17831,1931
17832,1932
17841,1931
17842,1932
17851,1931
17852,1932
17871,1936
17872,1937
17881,1936
17882,1937
17891,1938
17892,1939
17901,1941
17902,1943
17921,1945
17922,1946
17931,1945
17932,1946
17951,1949
17952,1950
17961,1949
17962,1950
17971,1949
17972,1950
17981,1949
17982,1950
17991,1951
17992,1952
18001,1953
18002,1954
18021,1955
18022,1956
18031,1957
18032,1959
18041,1961
18042,1962
18051,1961
18052,1962
18061,1961
18062,1962
18071,1961
18072,1962
18081,1964
18082,1965
18091,1872
18092,1873
18101,1872
18102,1873
18111,1872
18112,1873
18121,1872
18122,1873
18131,1872
18132,1873
18141,1872
18142,1873
18151,1872
18152,1873
18161,1872
18162,1873
18171,1872
18172,1873
18181,1872
18182,1873
18191,1872
18192,1873
18201,1872
18202,1873
18211,1872
18212,1873
18221,1872
18222,1873
18231,1872
18232,1873
18241,1872
18242,1873
18251,1872
18252,1873
18261,1872
18262,1873
18271,1872
18272,1873
18281,1872
18282,1873
18291,1872
18292,1873
18301,1872
18302,1873
18311,1872
18312,1873
18321,1872
18322,1873
18331,1872
18332,1873
18341,1969
18342,1971
18351,1969
18352,1971
18431,1984
18432,1985
18441,1985
18442,1986
18451,1985
18452,1986
18461,1988
18462,1989
18471,1988
18472,1989
18481,1985
18482,1986
18491,1990
18492,1991
18551,2001
18552,2004
18561,2001
18562,2004
18571,2001
18572,2004
18591,2003
18592,2002
18601,2003
18602,2002
18611,2007
18612,2008
18621,2010
18622,2011
18631,1871
18632,1872
18641,1872
18642,1873
18651,1872
18652,1873
18661,1872
18662,1873
18671,1872
18672,1873
18681,1872
18682,1873
18691,1872
18692,1873
18701,1872
18702,1873
18711,1872
18712,1873
18721,1872
18722,1873
18731,1872
18732,1873
18741,1872
18742,1873
18751,1872
18752,1873
18761,1872
18762,1873
18771,1872
18772,1873
18781,1872
18782,1873
18791,1872
18792,1873
18801,1872
18802,1873
18811,1872
18812,1873
18821,1872
18822,1873
18831,1872
18832,1873
18841,1872
18842,1873
18851,1872
18852,1873
18861,1872
18862,1873
18871,1872
18872,1873
18881,1872
18882,1873
18891,1872
18892,2014
18901,1872
18902,2014
18931,1543
18932,1542
18941,1542
18942,1544
18951,1542
18952,1802
18961,1542
18962,1802
18971,1542
18972,1802
18981,1542
18982,1802
18991,1542
18992,1802
19001,1542
19002,1802
19011,1542
19012,1802
19021,1542
19022,1802
19031,1542
19032,1802
19041,1542
19042,1802
19051,1542
19052,1802
19061,1542
19062,1802
19071,1542
19072,1802
19081,1542
19082,1802
19091,1542
19092,1802
19101,1542
19102,1802
19111,1542
19112,1802
19121,1542
19122,1802
19131,1542
19132,1802
19141,1542
19142,1802
19151,1542
19152,1802
19161,1542
19162,1802
19171,1542
19172,1802
19181,1542
19182,1802
19191,1542
19192,1802
19201,1542
19202,1802
19211,1542
19212,1802
19221,1542
19222,1802
19231,1542
19232,1802
19241,1542
19242,1802
19251,1542
19252,1802
19261,1542
19262,1802
19271,1542
19272,1802
19281,1542
19282,1802
19291,1542
19292,1802
19301,1542
19302,1802
19311,1542
19312,1802
19361,2022
19362,2023
19371,2017
19372,2023
19381,2017
19382,2023
19391,2024
19392,2025
19401,2027
19402,2028
19411,2028
19412,2029
19421,2032
19422,2035
19431,2031
19432,2033
19471,1997
19472,2040
19481,1997
19482,2040
19491,1996
19492,2040
19501,2041
19502,2042
19511,2041
19512,2042
19521,2043
19522,2046
19531,2043
19532,2046
19551,2044
19552,2045
19561,2047
19562,2048
19571,2051
19572,2050
19581,2052
19582,2053
19591,2052
19592,2053
19641,2061
19642,2062
19651,2062
19652,2063
19701,2071
19702,2072
19711,2074
19712,2075
19721,2075
19722,2076
19731,2078
19732,2079
19741,2083
19742,2084
19751,2082
19752,2083
19761,2088
19762,2089
19771,2087
19772,2088
19791,2093
19792,2092
19801,2097
19802,2098
19811,2097
