id,I_nd,J_nd
1528,17823,3238
1529,17824,17825
1530,17826,17827
1531,3241,17824
1532,17828,3240
1533,17824,3242
1534,3243,17829
1535,17830,17829
1536,3245,17826
1537,17829,3244
1538,3247,17826
1539,17831,3246
1540,942,3248
1541,3249,17831
1542,17832,942
1543,3251,942
1544,17828,3250
1545,17833,17828
1546,17834,3252
1547,17834,3254
1548,17835,17836
1549,17837,17838
1550,3257,17835
1551,943,3256
1552,17835,3258
1553,3259,17839
1554,17840,17839
1555,3261,17837
1556,17839,3260
1557,3263,17837
1558,17841,3262
1559,3265,17841
1560,943,3264
1561,17842,943
1562,17843,3266
1563,17843,3268
1564,17844,3270
1565,155,3272
1566,156,3272
1567,157,17845
1568,3273,17845
1569,155,3274
1570,156,3274
1571,157,17846
1572,3275,17846
1573,155,3277
1574,156,3276
1575,3279,155
1576,3279,156
1577,157,3278
1578,3281,155
1579,3281,156
1580,157,17847
1581,17847,3280
1582,3283,155
1583,3283,156
1584,157,17848
1585,17848,3282
1586,3285,155
1587,3285,156
1588,157,17849
1589,17849,3284
1590,3287,155
1591,3287,156
1592,157,17850
1593,17850,3286
1594,3289,155
1595,3289,156
1596,157,17851
1597,17851,3288
1598,3291,155
1599,3291,156
1600,157,17852
1601,17852,3290
1602,3293,155
1603,3293,156
1604,157,17853
1605,17853,3292
1606,377,3294
1607,378,3294
1608,377,3296
1609,378,3296
1610,377,3298
1611,378,3298
1612,379,17854
1613,3299,17854
1614,3300,377
1615,3301,378
1616,3303,377
1617,3303,378
1618,379,3302
1619,3305,377
1620,3305,378
1621,379,17855
1622,17855,3304
1623,3307,377
1624,3307,378
1625,379,17856
1626,17856,3306
1627,3309,377
1628,3309,378
1629,379,17857
1630,17857,3308
1631,3311,377
1632,3311,378
1633,379,17858
1634,17858,3310
1635,158,3312
1636,159,3312
1637,160,17859
1638,3313,17859
1639,158,3315
1640,159,3314
1641,3317,158
1642,3317,159
1643,3319,158
1644,3319,159
1645,160,17860
1646,17860,3318
1647,3321,158
1648,3321,159
1649,160,17861
1650,17861,3320
1651,3323,158
1652,3323,159
1653,160,17862
1654,17862,3322
1655,3325,158
1656,3325,159
1657,160,17863
1658,17863,3324
1659,29,3326
1660,28,3326
1661,3327,17864
1662,29,3328
1663,28,3328
1664,3329,17865
1665,29,3330
1666,28,3330
1667,3331,17866
1668,29,3333
1669,28,3332
1670,3335,29
1671,3335,28
1672,17867,3334
1673,3337,29
1674,3337,28
1675,17868,3336
1676,45,3338
1677,46,3342
1678,45,3340
1679,3345,46
1680,17869,3344
1681,3347,46
1682,17870,3346
1683,161,3348
1684,162,3348
1685,163,17871
1686,3349,17871
1687,161,3351
1688,162,3350
1689,3353,161
1690,3353,162
1691,163,3352
1692,3355,161
1693,3355,162
1694,163,17872
1695,17872,3354
1696,3357,161
1697,3357,162
1698,163,17873
1699,17873,3356
1700,3359,161
1701,3359,162
1702,163,17874
1703,17874,3358
1704,3361,161
1705,3361,162
1706,163,17875
1707,17875,3360
1708,17876,3362
1709,3364,164
1710,3366,164
1711,3368,164
1712,3370,164
1713,3372,513
1714,164,3373
1715,164,3375
1716,164,3377
1717,164,3379
1718,513,3381
1719,165,3383
1720,3384,17877
1721,17877,3385
1722,3386,17878
1723,17878,3387
1724,3388,166
1725,165,3389
1726,3390,17879
1727,17880,17879
1728,17879,3391
1729,3392,17881
1730,17881,3393
1731,3394,166
1732,165,3395
1733,3396,17882
1734,17883,17882
1735,17882,3397
1736,3398,17884
1737,17884,3399
1738,3400,166
1739,165,3401
1740,3402,17885
1741,17886,17885
1742,17885,3403
