name,CN_I,CN_J,TxI,TxJ
四川.金龙厂/1#变压器,11384,22840,9661,9662
四川.金龙厂/2#变压器,11386,22841,9671,9672
四川.张窝厂/2#变压器,11396,22865,9681,9682
四川.张窝厂/1#变压器,11394,22864,9691,9692
四川.灵官庙厂/1#变压器,11408,22875,9701,9702
四川.水打坝厂/1#变压器,11414,22878,9711,9712
四川.秀观厂/1#变压器,11428,1223,9721,9722
四川.秀观厂/2#变压器,11426,1222,9731,9732
四川.可河厂/1#变压器,11438,22889,9741,9742
四川.可河厂/2#变压器,11440,22890,9751,9752
四川.跃发变/1#变压器,11464,41415,9771,9772
四川.跃发变/2#变压器,11465,41416,9781,9782
四川.洗马姑厂/1#变压器,11471,22933,9791,9792
四川.洗马姑厂/2#变压器,11473,22931,9801,9802
四川.春禾厂/1#变压器,11475,22937,9811,9812
四川.水津关厂/1#变压器,11547,22972,9841,9842
四川.水津关厂/2#变压器,11545,22973,9851,9852
四川.双滩厂/1#变压器,10880,1110,9861,9862
四川.双滩厂/2#变压器,10882,1109,9871,9872
四川.国合厂/1#变压器,11557,1246,9881,9882
四川.国合厂/2#变压器,11559,11566,9891,9892
四川.茶园厂/1#变压器,11573,11576,9901,9902
四川.茶园厂/2#变压器,11575,11577,9911,9912
四川.尼河厂/1#变压器,11591,23002,9921,9922
四川.攀钢热电厂/5#变压器,23011,23012,9931,9932
四川.围海厂/1#变压器,11601,1252,9941,9942
四川.围海厂/2#变压器,11603,1253,9951,9952
四川.德昌风电厂/1301#箱变,11611,11614,9961,9962
四川.德昌风电厂/1302#箱变,11611,11616,9971,9972
四川.德昌风电厂/1303#箱变,11611,11618,9981,9982
四川.德昌风电厂/1401#箱变,11612,11620,9991,9992
四川.德昌风电厂/1402#箱变,11612,11622,10001,10002
四川.德昌风电厂/1403#箱变,11612,11624,10011,10012
四川.德昌风电厂/1501#箱变,11613,11626,10021,10022
四川.德昌风电厂/1502#箱变,11613,11628,10031,10032
四川.德昌风电厂/1#变压器,11607,11608,10041,10042
四川.风滩厂/2#变压器,11634,11632,10051,10052
四川.德美厂/1#变压器,11646,11635,10081,10082
四川.公德房厂/1#变压器,11654,23049,10091,10092
四川.公德房厂/2#变压器,11652,23047,10101,10102
四川.虎头寺厂/2#变压器,11669,1262,10111,10112
