id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
9961,四川.达州/380V.21TZLK虚开关,0,四川.达州.0.nd32502,四川.达州.0.nd32503,32502,32503,1461,1461
9962,四川.达州/380V.22TZLK虚开关,0,四川.达州.0.nd32504,四川.达州.0.nd32505,32504,32505,1461,1461
9963,四川.达州/380V.25TZLK虚开关,0,四川.达州.0.nd32506,四川.达州.0.nd32507,32506,32507,1461,1461
9964,四川.达州/380V.8101开关,0,四川.达州.0.nd32508,四川.达州.0.nd32509,32508,32509,1461,1461
9965,四川.达州/380V.8102开关,0,四川.达州.0.nd32510,四川.达州.0.nd32511,32510,32511,1461,1461
9966,四川.达州/380V.8103开关,0,四川.达州.0.nd32512,四川.达州.0.nd32513,32512,32513,1461,1461
9967,四川.达州/380V.8201开关,0,四川.达州.0.nd32514,四川.达州.0.nd32515,32514,32515,1461,1461
9968,四川.达州/380V.8202开关,0,四川.达州.0.nd32516,四川.达州.0.nd32517,32516,32517,1461,1461
9969,四川.达州/380V.8203开关,0,四川.达州.0.nd32518,四川.达州.0.nd32519,32518,32519,1461,1461
9970,四川.达州/380V.812开关,0,四川.达州.0.nd32520,四川.达州.0.nd32521,32520,32521,1461,1461
9971,四川.达州/380V.8011开关,0,四川.达州.0.nd32522,四川.达州.0.nd32523,32522,32523,1461,1461
9972,四川.达州/380V.8021开关,0,四川.达州.0.nd32524,四川.达州.0.nd32525,32524,32525,1461,1461
9973,四川.达州/380V.9101开关,0,四川.达州.0.nd32526,四川.达州.0.nd32527,32526,32527,1461,1461
9974,四川.达州/380V.9102开关,0,四川.达州.0.nd32528,四川.达州.0.nd32529,32528,32529,1461,1461
9975,四川.达州/380V.9105开关,0,四川.达州.0.nd32530,四川.达州.0.nd32531,32530,32531,1461,1461
9976,四川.达州/380V.9201开关,0,四川.达州.0.nd32532,四川.达州.0.nd32533,32532,32533,1461,1461
9977,四川.达州/380V.9202开关,0,四川.达州.0.nd32534,四川.达州.0.nd32535,32534,32535,1461,1461
9978,四川.达州/380V.9205开关,0,四川.达州.0.nd32536,四川.达州.0.nd32537,32536,32537,1461,1461
9979,四川.达州/380V.9011开关,0,四川.达州.0.nd32538,四川.达州.0.nd32539,32538,32539,1461,1461
9980,四川.达州/380V.9012开关,0,四川.达州.0.nd32540,四川.达州.0.nd32541,32540,32541,1461,1461
9981,四川.达州/380V.9021开关,0,四川.达州.0.nd32542,四川.达州.0.nd32543,32542,32543,1461,1461
9982,四川.达州/380V.9022开关,0,四川.达州.0.nd32544,四川.达州.0.nd32545,32544,32545,1461,1461
9983,四川.达州/220V.8023开关,0,四川.达州.0.nd32546,四川.达州.0.nd32547,32546,32547,1461,1461
9984,四川.达州/220V.8013开关,0,四川.达州.0.nd32548,四川.达州.0.nd32549,32548,32549,1461,1461
9985,四川.达州/380V.直流系统#1充电机交流进线1虚开关,0,四川.达州.0.nd32550,四川.达州.0.nd32551,32550,32551,1461,1461
9986,四川.达州/380V.直流系统#1充电机交流进线2虚开关,0,四川.达州.0.nd32552,四川.达州.0.nd32553,32552,32553,1461,1461
9987,四川.达州/380V.直流系统#2充电机交流进线1虚开关,0,四川.达州.0.nd32554,四川.达州.0.nd32555,32554,32555,1461,1461
9988,四川.达州/380V.直流系统#2充电机交流进线2虚开关,0,四川.达州.0.nd32556,四川.达州.0.nd32557,32556,32557,1461,1461
9989,四川.达州/380V.直流系统#3充电机交流进线1虚开关,0,四川.达州.0.nd32558,四川.达州.0.nd32559,32558,32559,1461,1461
9990,四川.达州/380V.直流系统#3充电机交流进线2虚开关,0,四川.达州.0.nd32560,四川.达州.0.nd32561,32560,32561,1461,1461
9991,四川.达州/380V.通信直流#1充电机交流进线1虚开关,0,四川.达州.0.nd32562,四川.达州.0.nd32563,32562,32563,1461,1461
9992,四川.达州/380V.通信直流#1充电机交流进线2虚开关,0,四川.达州.0.nd32564,四川.达州.0.nd32565,32564,32565,1461,1461
